vendor,memo,amount_cents,account
Amplitude,monthly subscription,2462270,6300 Software Subscriptions
Snowflake,invoice B-2268,1925447,6400 Cloud Infrastructure
Retool,services B-3218,339328,6300 Software Subscriptions
Atlassian,auto-pay,54419,6300 Software Subscriptions
WeWork,annual renewal,1134358,6200 Rent & Facilities
Retool,auto-pay,3517059,6300 Software Subscriptions
OpenPhone,annual renewal,300213,6420 Communications
Snowflake,,3531095,6400 Cloud Infrastructure
Deel Inc,monthly subscription,1811655,6000 Payroll
Linear,services B-5206,5969857,6300 Software Subscriptions
Slack Technologies,,4735262,6300 Software Subscriptions
Twilio,monthly subscription,3822444,6420 Communications
Linear,services B-2338,692389,6300 Software Subscriptions
Snowflake,monthly subscription,706926,6400 Cloud Infrastructure
Rippling,monthly subscription,347141,6000 Payroll
Amplitude,annual renewal,939981,6300 Software Subscriptions
Vercel,usage charges,182228,6400 Cloud Infrastructure
Snowflake,usage charges,3584700,6400 Cloud Infrastructure
WeWork,services B-5978,2331198,6200 Rent & Facilities
Stripe Billing,invoice B-4135,3648496,6500 Payment Processing Fees
Figma,,49593,6300 Software Subscriptions
Atlassian,auto-pay,3558434,6300 Software Subscriptions
WeWork,invoice B-4238,983157,6200 Rent & Facilities
Atlassian,,2172901,6300 Software Subscriptions
Zoom Video,annual renewal,3665979,6300 Software Subscriptions
Mercury Bank,auto-pay,4560473,6510 Bank Fees
WeWork,services B-8874,4799537,6200 Rent & Facilities
WeWork,annual renewal,2141840,6200 Rent & Facilities
Stripe Billing,services B-9138,1647591,6500 Payment Processing Fees
Mercury Bank,usage charges,1835804,6510 Bank Fees
LaunchDarkly,services B-9162,4864285,6300 Software Subscriptions
Snowflake,invoice B-3999,3852681,6400 Cloud Infrastructure
Snowflake,annual renewal,3125611,6400 Cloud Infrastructure
WeWork,annual renewal,3970385,6200 Rent & Facilities
Figma,monthly subscription,2542055,6300 Software Subscriptions
Figma,,986023,6300 Software Subscriptions
Snowflake,services B-2161,2703949,6400 Cloud Infrastructure
Segment,services B-5866,663332,6300 Software Subscriptions
Segment,annual renewal,2350774,6300 Software Subscriptions
Rippling,invoice B-3116,1530781,6000 Payroll
Brex,services B-2817,124461,6510 Bank Fees
Slack Technologies,,3695913,6300 Software Subscriptions
Mercury Bank,monthly subscription,718235,6510 Bank Fees
Atlassian,,4360850,6300 Software Subscriptions
Linear,auto-pay,660030,6300 Software Subscriptions
Snowflake,invoice B-8872,3842612,6400 Cloud Infrastructure
Vercel,monthly subscription,1343505,6400 Cloud Infrastructure
WeWork,auto-pay,5856939,6200 Rent & Facilities
Brex,services B-1656,679800,6510 Bank Fees
Figma,services B-6021,651211,6300 Software Subscriptions
Carta,auto-pay,4126899,6600 Professional Services
DocuSign,services B-9455,2977099,6300 Software Subscriptions
Twilio,auto-pay,5090144,6420 Communications
Salesforce,auto-pay,4657458,6300 Software Subscriptions
Linear,annual renewal,5477758,6300 Software Subscriptions
OpenPhone,services B-5274,4927764,6420 Communications
Twilio,usage charges,878919,6420 Communications
Twilio,monthly subscription,712988,6420 Communications
Mercury Bank,invoice B-6976,2301023,6510 Bank Fees
Slack Technologies,invoice B-6307,5645435,6300 Software Subscriptions
Deel Inc,invoice B-6352,3589642,6000 Payroll
Zoom Video,,2601452,6300 Software Subscriptions
DocuSign,monthly subscription,3942607,6300 Software Subscriptions
Stripe Billing,annual renewal,3127911,6500 Payment Processing Fees
Airtable,auto-pay,3599524,6300 Software Subscriptions
Airtable,annual renewal,4089178,6300 Software Subscriptions
AWS,usage charges,3515389,6400 Cloud Infrastructure
Vercel,auto-pay,4645419,6400 Cloud Infrastructure
Amplitude,monthly subscription,1711583,6300 Software Subscriptions
Stripe Billing,,1944939,6500 Payment Processing Fees
Airtable,auto-pay,2825571,6300 Software Subscriptions
Figma,monthly subscription,4241701,6300 Software Subscriptions
Deel Inc,services B-9976,847474,6000 Payroll
Rippling,auto-pay,3839978,6000 Payroll
OpenPhone,annual renewal,5597064,6420 Communications
Mercury Bank,auto-pay,343381,6510 Bank Fees
LaunchDarkly,,653182,6300 Software Subscriptions
Vercel,monthly subscription,1259280,6400 Cloud Infrastructure
Zoom Video,auto-pay,2561204,6300 Software Subscriptions
Amplitude,annual renewal,2097504,6300 Software Subscriptions
Vercel,,5645771,6400 Cloud Infrastructure
Retool,,3139636,6300 Software Subscriptions
Gusto Payroll,services B-9175,3334216,6000 Payroll
Brex,services B-6426,5925713,6510 Bank Fees
Twilio,usage charges,1982313,6420 Communications
Amplitude,usage charges,5388726,6300 Software Subscriptions
Vercel,usage charges,5907217,6400 Cloud Infrastructure
Segment,services B-4363,535410,6300 Software Subscriptions
Stripe Billing,usage charges,1668095,6500 Payment Processing Fees
LaunchDarkly,services B-1618,1518468,6300 Software Subscriptions
Gusto Payroll,,552606,6000 Payroll
Zoom Video,invoice B-8588,5304134,6300 Software Subscriptions
Brex,services B-3513,2343367,6510 Bank Fees
LaunchDarkly,services B-7855,348352,6300 Software Subscriptions
DocuSign,invoice B-1057,2207293,6300 Software Subscriptions
Twilio,auto-pay,1786615,6420 Communications
Carta,services B-9375,2481641,6600 Professional Services
Deel Inc,auto-pay,5970485,6000 Payroll
Amplitude,annual renewal,2491632,6300 Software Subscriptions
Gusto Payroll,invoice B-3483,2006821,6000 Payroll
Retool,,534422,6300 Software Subscriptions
WeWork,annual renewal,5151933,6200 Rent & Facilities
Zoom Video,services B-2966,4634469,6300 Software Subscriptions
DocuSign,services B-2513,4613452,6300 Software Subscriptions
Gusto Payroll,,4734806,6000 Payroll
Brex,auto-pay,5478896,6510 Bank Fees
OpenPhone,monthly subscription,2359466,6420 Communications
Atlassian,,4534312,6300 Software Subscriptions
Amplitude,annual renewal,5717099,6300 Software Subscriptions
Snowflake,services B-3992,4667936,6400 Cloud Infrastructure
Mercury Bank,annual renewal,3511792,6510 Bank Fees
Amplitude,invoice B-2014,1761063,6300 Software Subscriptions
Segment,auto-pay,2395006,6300 Software Subscriptions
Atlassian,usage charges,2914582,6300 Software Subscriptions
Gusto Payroll,monthly subscription,1731771,6000 Payroll
Slack Technologies,,1925337,6300 Software Subscriptions
Brex,annual renewal,4482074,6510 Bank Fees
Retool,annual renewal,4687517,6300 Software Subscriptions
Snowflake,auto-pay,3084560,6400 Cloud Infrastructure
WeWork,usage charges,1363793,6200 Rent & Facilities
Atlassian,usage charges,3345181,6300 Software Subscriptions
Stripe Billing,invoice B-1470,1734448,6500 Payment Processing Fees
Segment,invoice B-6723,2182531,6300 Software Subscriptions
OpenPhone,annual renewal,2596507,6420 Communications
Mercury Bank,annual renewal,1819829,6510 Bank Fees
Vercel,invoice B-3446,5083365,6400 Cloud Infrastructure
OpenPhone,services B-4591,685893,6420 Communications
DocuSign,annual renewal,3080079,6300 Software Subscriptions
Airtable,invoice B-9618,1321480,6300 Software Subscriptions
Zoom Video,usage charges,4650812,6300 Software Subscriptions
Zoom Video,annual renewal,4517495,6300 Software Subscriptions
Stripe Billing,monthly subscription,3912519,6500 Payment Processing Fees
Airtable,,2962180,6300 Software Subscriptions
LaunchDarkly,invoice B-1145,1301179,6300 Software Subscriptions
Amplitude,invoice B-9197,1453604,6300 Software Subscriptions
Salesforce,,4730902,6300 Software Subscriptions
Airtable,usage charges,883993,6300 Software Subscriptions
Airtable,services B-7330,4319771,6300 Software Subscriptions
Vercel,auto-pay,3497554,6400 Cloud Infrastructure
Retool,services B-8583,2194860,6300 Software Subscriptions
Atlassian,monthly subscription,4367004,6300 Software Subscriptions
Snowflake,invoice B-2236,4618226,6400 Cloud Infrastructure
DocuSign,auto-pay,902312,6300 Software Subscriptions
Figma,,3844106,6300 Software Subscriptions
Retool,invoice B-1339,4111416,6300 Software Subscriptions
OpenPhone,auto-pay,84623,6420 Communications
Figma,monthly subscription,2750886,6300 Software Subscriptions
Deel Inc,usage charges,3471480,6000 Payroll
Segment,services B-6067,4650484,6300 Software Subscriptions
WeWork,usage charges,3367167,6200 Rent & Facilities
Linear,services B-7901,2281603,6300 Software Subscriptions
DocuSign,monthly subscription,473764,6300 Software Subscriptions
Gusto Payroll,,3091697,6000 Payroll
Vercel,auto-pay,4995441,6400 Cloud Infrastructure
Salesforce,auto-pay,1560666,6300 Software Subscriptions
AWS,annual renewal,1258611,6400 Cloud Infrastructure
Twilio,annual renewal,165059,6420 Communications
LaunchDarkly,invoice B-6165,484125,6300 Software Subscriptions
Zoom Video,,5164420,6300 Software Subscriptions
OpenPhone,,3503028,6420 Communications
Rippling,invoice B-3003,53841,6000 Payroll
Deel Inc,,3978143,6000 Payroll
Salesforce,auto-pay,3520730,6300 Software Subscriptions
WeWork,annual renewal,1073122,6200 Rent & Facilities
Rippling,annual renewal,5284033,6000 Payroll
Zoom Video,monthly subscription,5503129,6300 Software Subscriptions
Vercel,,2331420,6400 Cloud Infrastructure
Figma,services B-3324,4645693,6300 Software Subscriptions
Slack Technologies,monthly subscription,4620828,6300 Software Subscriptions
Salesforce,usage charges,1122045,6300 Software Subscriptions
Vercel,,4844051,6400 Cloud Infrastructure
AWS,usage charges,5003306,6400 Cloud Infrastructure
Segment,auto-pay,1672684,6300 Software Subscriptions
WeWork,monthly subscription,3997360,6200 Rent & Facilities
Slack Technologies,annual renewal,5551572,6300 Software Subscriptions
Figma,services B-1120,4554668,6300 Software Subscriptions
AWS,invoice B-8663,3799375,6400 Cloud Infrastructure
Brex,invoice B-3434,4402768,6510 Bank Fees
Carta,usage charges,1654130,6600 Professional Services
Snowflake,services B-1327,4371932,6400 Cloud Infrastructure
Slack Technologies,,346795,6300 Software Subscriptions
Salesforce,services B-5464,120669,6300 Software Subscriptions
Salesforce,invoice B-9914,2129372,6300 Software Subscriptions
Carta,,703491,6600 Professional Services
