vendor,memo,amount_cents,account
Snowflake,auto-pay,2658906,6400 Cloud Infrastructure
Mercury Bank,usage charges,3756877,6510 Bank Fees
Gusto Payroll,usage charges,5419636,6000 Payroll
LaunchDarkly,,1508238,6300 Software Subscriptions
Linear,invoice B-9964,5672468,6300 Software Subscriptions
Twilio,annual renewal,4997454,6420 Communications
Segment,annual renewal,4652891,6300 Software Subscriptions
Gusto Payroll,services B-7271,35130,6000 Payroll
Amplitude,services B-8072,3142082,6300 Software Subscriptions
Notion Labs,auto-pay,5092605,6300 Software Subscriptions
Figma,annual renewal,572503,6300 Software Subscriptions
Linear,monthly subscription,591753,6300 Software Subscriptions
Linear,,1139389,6300 Software Subscriptions
Twilio,monthly subscription,3294047,6420 Communications
AWS,usage charges,2324752,6400 Cloud Infrastructure
AWS,auto-pay,2697462,6400 Cloud Infrastructure
DocuSign,,4640386,6300 Software Subscriptions
WeWork,usage charges,2133325,6200 Rent & Facilities
Stripe Billing,annual renewal,2816940,6500 Payment Processing Fees
Figma,invoice B-3397,4508190,6300 Software Subscriptions
Twilio,usage charges,141998,6420 Communications
OpenPhone,usage charges,2371634,6420 Communications
Gusto Payroll,services B-9083,3247584,6000 Payroll
Notion Labs,,1547626,6300 Software Subscriptions
Deel Inc,,1850991,6000 Payroll
Datadog,usage charges,4439173,6410 Monitoring & Tooling
Zoom Video,annual renewal,1879796,6300 Software Subscriptions
DocuSign,usage charges,831390,6300 Software Subscriptions
Datadog,annual renewal,1996667,6410 Monitoring & Tooling
LaunchDarkly,usage charges,1848887,6300 Software Subscriptions
Twilio,invoice B-9971,5741694,6420 Communications
Notion Labs,auto-pay,5157586,6300 Software Subscriptions
GitHub,services B-1413,1416798,6410 Monitoring & Tooling
GitHub,monthly subscription,371326,6410 Monitoring & Tooling
Airtable,services B-8343,61951,6300 Software Subscriptions
DocuSign,auto-pay,2610088,6300 Software Subscriptions
Datadog,,2992221,6410 Monitoring & Tooling
Google Cloud,invoice B-6105,2990889,6400 Cloud Infrastructure
GitHub,auto-pay,4421144,6410 Monitoring & Tooling
Notion Labs,invoice B-7701,5567205,6300 Software Subscriptions
LaunchDarkly,annual renewal,150421,6300 Software Subscriptions
Stripe Billing,annual renewal,3779483,6500 Payment Processing Fees
GitHub,services B-7570,4775193,6410 Monitoring & Tooling
Notion Labs,monthly subscription,3848275,6300 Software Subscriptions
Snowflake,monthly subscription,4689197,6400 Cloud Infrastructure
Twilio,services B-1487,2404619,6420 Communications
DocuSign,services B-9919,1665095,6300 Software Subscriptions
Snowflake,usage charges,2241416,6400 Cloud Infrastructure
AWS,services B-8567,312040,6400 Cloud Infrastructure
Zoom Video,,4693488,6300 Software Subscriptions
Mercury Bank,monthly subscription,2569931,6510 Bank Fees
Gusto Payroll,,3393188,6000 Payroll
Deel Inc,monthly subscription,2665507,6000 Payroll
Datadog,usage charges,3255760,6410 Monitoring & Tooling
Figma,usage charges,476441,6300 Software Subscriptions
Snowflake,,1591161,6400 Cloud Infrastructure
AWS,,5586160,6400 Cloud Infrastructure
Datadog,invoice B-2482,5935829,6410 Monitoring & Tooling
OpenPhone,auto-pay,30811,6420 Communications
Datadog,annual renewal,610664,6410 Monitoring & Tooling
Google Cloud,auto-pay,1138083,6400 Cloud Infrastructure
AWS,auto-pay,2451781,6400 Cloud Infrastructure
Stripe Billing,usage charges,4381835,6500 Payment Processing Fees
Amplitude,services B-8355,5244699,6300 Software Subscriptions
Stripe Billing,services B-8543,1548081,6500 Payment Processing Fees
OpenPhone,usage charges,5684738,6420 Communications
Segment,annual renewal,2692263,6300 Software Subscriptions
Brex,auto-pay,564374,6510 Bank Fees
GitHub,services B-3546,3702489,6410 Monitoring & Tooling
Twilio,annual renewal,3411345,6420 Communications
Figma,invoice B-9922,5995904,6300 Software Subscriptions
Datadog,annual renewal,2617638,6410 Monitoring & Tooling
Figma,usage charges,3878474,6300 Software Subscriptions
Mercury Bank,annual renewal,3974567,6510 Bank Fees
Brex,services B-7434,1005819,6510 Bank Fees
Linear,invoice B-7198,4535776,6300 Software Subscriptions
Snowflake,monthly subscription,1506699,6400 Cloud Infrastructure
Stripe Billing,usage charges,4740123,6500 Payment Processing Fees
DocuSign,invoice B-1799,1974413,6300 Software Subscriptions
Snowflake,annual renewal,5312575,6400 Cloud Infrastructure
Rippling,monthly subscription,5323737,6000 Payroll
Airtable,usage charges,4842360,6300 Software Subscriptions
Google Cloud,annual renewal,419217,6400 Cloud Infrastructure
Segment,,3614566,6300 Software Subscriptions
Zoom Video,auto-pay,4815928,6300 Software Subscriptions
Segment,services B-1749,2981291,6300 Software Subscriptions
AWS,monthly subscription,210996,6400 Cloud Infrastructure
Google Cloud,services B-4222,1866845,6400 Cloud Infrastructure
DocuSign,usage charges,896614,6300 Software Subscriptions
Airtable,usage charges,1604510,6300 Software Subscriptions
DocuSign,usage charges,5136639,6300 Software Subscriptions
Google Cloud,auto-pay,4773082,6400 Cloud Infrastructure
Segment,annual renewal,3937222,6300 Software Subscriptions
GitHub,usage charges,3427580,6410 Monitoring & Tooling
Linear,annual renewal,1532123,6300 Software Subscriptions
Deel Inc,services B-4906,1670731,6000 Payroll
DocuSign,services B-2180,5690666,6300 Software Subscriptions
Segment,invoice B-6182,2936024,6300 Software Subscriptions
Atlassian,annual renewal,5906085,6300 Software Subscriptions
Google Cloud,,3698851,6400 Cloud Infrastructure
WeWork,annual renewal,3646277,6200 Rent & Facilities
AWS,annual renewal,4323132,6400 Cloud Infrastructure
Deel Inc,usage charges,1915161,6000 Payroll
Amplitude,services B-1977,1930348,6300 Software Subscriptions
Linear,annual renewal,3611539,6300 Software Subscriptions
Retool,,1410975,6300 Software Subscriptions
Brex,auto-pay,5290215,6510 Bank Fees
Retool,services B-9799,3689068,6300 Software Subscriptions
Snowflake,,3987715,6400 Cloud Infrastructure
LaunchDarkly,monthly subscription,1932465,6300 Software Subscriptions
Google Cloud,,908247,6400 Cloud Infrastructure
Linear,services B-8123,4036023,6300 Software Subscriptions
Figma,auto-pay,314458,6300 Software Subscriptions
LaunchDarkly,,906428,6300 Software Subscriptions
Deel Inc,annual renewal,4985320,6000 Payroll
DocuSign,,3437569,6300 Software Subscriptions
Amplitude,auto-pay,1081806,6300 Software Subscriptions
OpenPhone,usage charges,5337883,6420 Communications
WeWork,annual renewal,2230891,6200 Rent & Facilities
Airtable,monthly subscription,2104491,6300 Software Subscriptions
Google Cloud,annual renewal,3923974,6400 Cloud Infrastructure
Retool,services B-9638,3183401,6300 Software Subscriptions
Brex,monthly subscription,2021985,6510 Bank Fees
Retool,,851445,6300 Software Subscriptions
Stripe Billing,monthly subscription,3635562,6500 Payment Processing Fees
Rippling,usage charges,3030431,6000 Payroll
Notion Labs,services B-5072,1206775,6300 Software Subscriptions
Figma,services B-4219,3169789,6300 Software Subscriptions
Figma,usage charges,1782874,6300 Software Subscriptions
Gusto Payroll,usage charges,3855169,6000 Payroll
Rippling,services B-2013,3646335,6000 Payroll
Brex,,2111052,6510 Bank Fees
AWS,,762329,6400 Cloud Infrastructure
Deel Inc,monthly subscription,5341422,6000 Payroll
Snowflake,invoice B-1364,3147067,6400 Cloud Infrastructure
WeWork,services B-4786,5865696,6200 Rent & Facilities
Figma,auto-pay,5391366,6300 Software Subscriptions
Amplitude,invoice B-5705,3769556,6300 Software Subscriptions
GitHub,,161452,6410 Monitoring & Tooling
Zoom Video,usage charges,3136471,6300 Software Subscriptions
Mercury Bank,invoice B-6489,1276195,6510 Bank Fees
Rippling,annual renewal,2403764,6000 Payroll
GitHub,annual renewal,2775044,6410 Monitoring & Tooling
Mercury Bank,services B-3579,5505914,6510 Bank Fees
GitHub,usage charges,2998740,6410 Monitoring & Tooling
Figma,annual renewal,56746,6300 Software Subscriptions
Linear,monthly subscription,2248527,6300 Software Subscriptions
Notion Labs,annual renewal,4545073,6300 Software Subscriptions
Google Cloud,auto-pay,5436351,6400 Cloud Infrastructure
Segment,invoice B-5470,3145773,6300 Software Subscriptions
Notion Labs,auto-pay,5303788,6300 Software Subscriptions
Notion Labs,auto-pay,1195492,6300 Software Subscriptions
Google Cloud,annual renewal,2148628,6400 Cloud Infrastructure
Segment,,899473,6300 Software Subscriptions
Retool,services B-6882,3461341,6300 Software Subscriptions
Datadog,annual renewal,5543455,6410 Monitoring & Tooling
OpenPhone,monthly subscription,4214492,6420 Communications
Retool,annual renewal,2801865,6300 Software Subscriptions
AWS,usage charges,899128,6400 Cloud Infrastructure
LaunchDarkly,monthly subscription,1111999,6300 Software Subscriptions
Segment,monthly subscription,3639995,6300 Software Subscriptions
Rippling,,2644824,6000 Payroll
OpenPhone,auto-pay,4113665,6420 Communications
GitHub,usage charges,2460665,6410 Monitoring & Tooling
Deel Inc,invoice B-9606,3884282,6000 Payroll
Datadog,auto-pay,4431751,6410 Monitoring & Tooling
Airtable,usage charges,4807112,6300 Software Subscriptions
Segment,services B-6560,1941769,6300 Software Subscriptions
Rippling,annual renewal,3638237,6000 Payroll
Stripe Billing,usage charges,5372320,6500 Payment Processing Fees
Notion Labs,annual renewal,4561451,6300 Software Subscriptions
LaunchDarkly,annual renewal,5034305,6300 Software Subscriptions
Twilio,usage charges,3303221,6420 Communications
DocuSign,services B-7456,4473011,6300 Software Subscriptions
Retool,invoice B-1538,1554745,6300 Software Subscriptions
WeWork,usage charges,526719,6200 Rent & Facilities
OpenPhone,monthly subscription,276413,6420 Communications
GitHub,,5145223,6410 Monitoring & Tooling
Airtable,invoice B-1768,3850179,6300 Software Subscriptions
Notion Labs,auto-pay,836989,6300 Software Subscriptions
Airtable,annual renewal,5000988,6300 Software Subscriptions
Segment,annual renewal,261436,6300 Software Subscriptions
OpenPhone,monthly subscription,5144198,6420 Communications
DocuSign,services B-1397,3970640,6300 Software Subscriptions
DocuSign,auto-pay,5448060,6300 Software Subscriptions
Twilio,auto-pay,235992,6420 Communications
Retool,annual renewal,3146212,6300 Software Subscriptions
Mercury Bank,monthly subscription,3031806,6510 Bank Fees
Brex,invoice B-7555,1336747,6510 Bank Fees
Linear,services B-8732,2387878,6300 Software Subscriptions
DocuSign,invoice B-1601,3884170,6300 Software Subscriptions
Retool,invoice B-1731,4787186,6300 Software Subscriptions
Mercury Bank,monthly subscription,2060823,6510 Bank Fees
AWS,annual renewal,4181079,6400 Cloud Infrastructure
Datadog,invoice B-7610,3868705,6410 Monitoring & Tooling
DocuSign,auto-pay,5126119,6300 Software Subscriptions
AWS,monthly subscription,3015914,6400 Cloud Infrastructure
Snowflake,usage charges,5343363,6400 Cloud Infrastructure
Retool,monthly subscription,5471921,6300 Software Subscriptions
Snowflake,usage charges,2547761,6400 Cloud Infrastructure
Segment,,4198892,6300 Software Subscriptions
Notion Labs,services B-6631,2818017,6300 Software Subscriptions
Zoom Video,auto-pay,609201,6300 Software Subscriptions
Twilio,monthly subscription,3605679,6420 Communications
AWS,usage charges,3950222,6400 Cloud Infrastructure
Segment,invoice B-1742,1891152,6300 Software Subscriptions
Figma,,13619,6300 Software Subscriptions
Twilio,monthly subscription,5940758,6420 Communications
Deel Inc,usage charges,472783,6000 Payroll
Notion Labs,services B-8771,4930019,6300 Software Subscriptions
Deel Inc,invoice B-3051,3029969,6000 Payroll
Twilio,annual renewal,4664435,6420 Communications
Brex,auto-pay,2171018,6510 Bank Fees
Brex,services B-1714,629175,6510 Bank Fees
